//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName
1       6294    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0           "Wing200"
2       6295    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0           "Wing201"
3       6296    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0           "Wing202"
4       6297    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0           "Wing204"
5       6298    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0           "Wing205"
6       6299    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       1           "cape_of_death"
7       6300    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0           "Wing401"
8       6301    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0           "Wing402"
9       6302    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0           "Wing403"
10      6303    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0           "Wing404"
11      6304    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       1           "Wing405"
12      6305    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0           "Wing406"
13      6306    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       1           "Wing407"
14      6344    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       1           "Wing408"
16      6379    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0           "Wing52"
17      6380    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0           "Wing53"
18      6381    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0           "Wing54"
19      6382    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0           "Wing55"
20      6383    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       1           "WingsOfPower"
21      6384    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0           "MJS_wing_12"
22      6345    4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0           "Wing415"
end
