//Index   Message
0         "Blood Castle fechara em %d minuto(s)"
1         "Blood Castle fechado"
2         "Blood Castle %d comecara em %d minuto(s)"
3         "Blood Castle comecou"
4         "Todos os monstros foram derrotados"
5         "Todos os monstros chefes foram derrotados"
6         "Blood Castle terminou"
7         "Voce nao tem forca suficiente para entrar no Blood Castle"
8         "%s derrubou a arma do anjo"
9         "%s pegou a arma do anjo"
10        "O jogador %s destruiu o portao do castelo"
11        "%s destruiu a estatua"
16        "Chaos Castle fechara em %d minuto(s)"
17        "Chaos Castle fechado"
18        "Chaos Castle %d comecara em %d minuto(s)"
19        "Chaos Castle comecou"
20        "Chaos Castle terminou"
32        "Conta Gratis"
33        "Conta Bronze"
34        "Conta Prata"
35        "Conta Ouro"
36        "%d %s obtido"
37        "Voce matou um Hound"
38        ""
39        ""
40        ""
41        ""
42        ""
43        ""
44        ""
45        ""
46        "O Grande Demonio atacou Debenter"
47        "O jogador %s destruiu o Dragao Ancestral"
48        ""
49        ""
50        "O jogador %s destruiu os Ovos de Aranha"
51        ""
52        ""
53        ""
54        ""
55        ""
56        ""
57        ""
58        ""
64        "Voce nao tem permissao para usar"
65        "Voce precisa ter pelo menos nivel %d para usar"
66        "Voce precisa ter pelo menos %d reset para usar"
67        "Voce precisa ter pelo menos %d zen para usar"
68        "Voce precisa aguardar %d segundos para usar"
69        "%s"
70        "Voce nao tem permissao para usar /add"
71        "Comando exclusivo do Dark Lord"
72        "Voce nao tem pontos suficientes para adicionar"
73        "Voce precisa ter pelo menos %d zen para usar /add"
74        "Voce adicionou %d pontos, restando %d pontos para distribuir"
75        "Voce nao tem permissao para usar /pkclear"
76        "Voce nao esta PK"
77        "Voce precisa ter pelo menos %d zen para usar /pkclear"
78        "Seu PK foi limpo com sucesso"
79        "Voce nao tem permissao para usar /zen"
80        "Voce informou um valor invalido para /add"
81        "Voce nao tem permissao para usar /change"
82        "Voce precisa ter pelo menos %d zen para usar /change"
83        "Voce nao pode mais evoluir"
84        "Voce evoluiu com sucesso"
85        "Voce nao tem permissao para usar /ware"
86        "Voce nao pode usar /ware neste momento"
87        "Voce informou um bau invalido para /change"
88        "Voce foi movido com sucesso para o bau %d"
89        "Voce nao tem permissao para usar /reset"
90        "Voce nao pode usar /reset neste momento"
91        "Voce precisa estar no nivel %d para resetar"
92        "Voce precisa ter pelo menos %d zen para usar /reset"
93        "Voce nao pode ter mais de %d resets"
94        "Voce nao pode resetar com itens equipados"
95        "Reset realizado com sucesso. Agora voce tem %d resets"
96        "Voce nao tem permissao para usar /gmmove"
97        "Voce informou um destino invalido para /gmmove"
98        "Voce nao tem permissao para usar /gmpost"
99        "Voce nao tem permissao para usar /track"
100       "Voce informou um alvo invalido para /track"
101       "Voce nao tem permissao para usar /trace"
102       "Voce informou um destino invalido para /trace"
103       "Voce nao tem permissao para usar /disconnect"
104       "Voce informou um destino invalido para /disconnect"
105       "Voce nao tem permissao para usar /fireworks"
106       "Voce nao tem permissao para usar /make"
107       "Item criado com sucesso"
108       "Voce nao tem permissao para usar /skin"
109       "Voce informou um alvo invalido para /skin"
110       "Voce nao tem permissao para usar /setmoney"
111       "Voce informou um destino invalido para /setmoney"
112       "Voce informou um valor invalido para /setmoney"
113       "Voce nao tem permissao para usar /notice"
114       "Adicionar pontos automatico: Ligado (%d)"
115       "Adicionar pontos automatico: Desligado"
116       "Auto Reset: ligado"
117       "Auto Reset: desligado"
118       "Voce nao tem permissao para usar /mreset"
119       "Voce nao pode usar /mreset neste momento"
120       "Voce precisa ter pelo menos %d niveis para usar /mreset"
121       "Voce precisa ter pelo menos %d resets para usar /mreset"
122       "Voce precisa ter pelo menos %d zen para usar /mreset"
123       "Voce nao pode ter mais de %d master resets"
124       "Voce nao pode fazer master reset com itens equipados"
125       "Master reset realizado com sucesso. Agora voce tem %d master resets"
126       "Recebimento de pedidos: Ativado"
127       "Recebimento de pedidos: Desativado"
128       "Recebimento de pedidos: Automatico"
129       "Voce so pode resetar %d vezes por dia"
130       "Voce so pode resetar %d vezes por semana"
131       "Voce so pode resetar %d vezes por mes"
132       "Voce so pode fazer master reset %d vezes por dia"
133       "Voce so pode fazer master reset %d vezes por semana"
134       "Voce so pode fazer master reset %d vezes por mes"
135       "Voce nao tem permissao para usar /hide"
144       "Devil Square fechara em %d minuto(s)"
145       "Devil Square fechado"
146       "Devil Square %d comecara em %d minuto(s)"
147       "Devil Square comecou"
148       "Devil Square terminou"
149       "Voce nao tem forca suficiente para entrar no Devil Square"
159       "ola"
160       "O jogador alvo nao esta online"
161       "Voce nao pode duelar neste momento"
162       "O jogador alvo recusou automaticamente seu pedido de duelo"
163       "Voce ja pediu ou recebeu um pedido de duelo"
164       "O jogador alvo ja pediu ou recebeu um pedido de duelo"
165       "Voce nao pode duelar durante a Guerra de Guild"
166       "O jogador alvo nao pode aceitar duelo na Guerra de Guild"
167       "Voce nao pode duelar neste mapa"
168       "Voce nao pode duelar durante o Castle Siege"
169       "O nome do jogador alvo e invalido"
170       "Voce nao pode lutar em defesa propria"
171       "O jogador alvo nao pode aceitar duelo em defesa propria"
172       "O jogador alvo recusou seu pedido de duelo"
173       "Todas as arenas estao cheias no momento"
174       "Duelo entre %s e %s comecou!"
175       "%s venceu %s no duelo!"
176       "Illusion Temple fechara em %d minuto(s)"
177       "Illusion Temple fechado"
178       "Illusion Temple %d comecara em %d minuto(s)"
179       "Illusion Temple comecou"
180       "Illusion Temple terminou"
181       "Voce nao tem forca suficiente para entrar no Illusion Temple"
182       "Voce nao tem o item necessario para entrar no Illusion Temple"
183       "%s deixou cair o artefato"
184       "O jogador %s esta com o artefato"
191       "A invasao de Balrog comecou em Lost Tower!"
192       "A invasao do Skeleton King comecou em Lorencia!"
193       "A invasao do Red Dragon comecou em Noria!"
194       "A invasao dos Dourados comecou!"
195       "O Mago Branco atacou!"
196       "A invasao de Ano Novo comecou em Devias!"
197       "A invasao dos coelhos comecou em Elbeland!"
198       "A invasao de Verao comecou em Devias!"
199       "O Papai Noel Maldito invadiu Lorencia. Derrote-o!"
200       "A invasao da Medusa comecou!"
201       "O jogador %s matou um Coelho Lunar!"
202       "O jogador %s matou o Skeleton King!"
203       "O jogador %s matou um Dragao Vermelho!"
204       "O jogador %s matou um Dourado!"
205       "O jogador %s derrotou o Mago Branco!"
206       "O jogador %s derrotou o Papai Noel Maldito!"
207       "O jogador %s matou a Medusa!"
208       "O Moss Merchant apareceu!"
209       "O Moss Merchant foi embora!"
210       "A invocacao dos demonios comecou!"
211       "A invasao do evento de ovos comecou!"
212       "O jogador %s recebeu o premio de Ano Novo!"
213       "O jogador %s matou um monstro de Verao!"
214       "O jogador %s destruiu um Balrog!"	//custom
215       "Evento Happy Hour comecou: +10% de EXP"
216       "Evento Happy Hour terminou: EXP normalizada"
224       "Voce precisa estar no minimo nivel %d para mover"
225       "Voce precisa ter pelo menos %d zen para mover"
226       "Voce nao pode mover neste momento"
227       "Assassinos nao podem mover"
228       "Voce nao tem o equipamento necessario para mover"
229       "Somente membros de uma familia Gens podem mover"
230       "Voce precisa estar no nivel %d para mover"
231       "Voce precisa ter pelo menos %d resets para mover"
232       "Voce precisa ter no maximo %d resets para mover"
240       "Senior nao esta ativo no momento"
241       "Senior nao funciona durante o Castle Siege"
242       "Voce precisa ser dono do castelo para usar o Senior"
243       "Voce precisa ser dono da Guild para usar o Senior"
244       "Guardsman nao funciona durante o Castle Siege"
245       "Voce ja esta em uma Guild"
246       "Voce nao tem nivel suficiente para criar uma Guild"
247       "A loja esta vazia"
248       "Nivel da conta: Gratis"
249       "Nivel da conta: Bronze (%s)"
250       "Nivel da conta: Prata (%s)"
251       "Nivel da conta: Ouro (%s)"
256       "Bem-vindo %s ao servidor"
257       "Voce precisa ter pelo menos nivel 40 para usar o anel"
258       "Voce precisa ter pelo menos nivel 80 para usar o anel"
259       "Voce nao pode mover para este mapa neste momento"
260       "Voce nao pode pegar este item neste momento"
261       "Voce nao pode sair do jogo com trade aberto"
262       "Voce nao pode sair do jogo com bau aberto"
263       "Voce nao pode sair do jogo com Chaos Machine aberta"
264       "Voce nao pode sair do jogo com o Trainer aberto"
265       "Voce nao pode sair do jogo enquanto estiver em defesa propria"
266       "Voce esta no nivel maximo"
267       "Voce esta no nivel master maximo"
268       "Voce so pode adicionar %d pontos"
269       "Voce nao pode falar por %d segundos"
270       "Voce nao pode mandar mensagem para si mesmo"
271       "Ola, sou o assistente alegre"
272       "Nao foi possivel realizar o teleporte"
273       "Voce sera teleportado em %d segundo(s)"
274       "Voce nao pode mover para este mapa com montaria"
275       "Voce nao pode mover para este mapa sem asa"
276       "Presente CashShop"
277       "O jogador %s derrotou um Golden Budge Dragon!"
278       "O jogador %s derrotou um Golden Titan!"
279       "O jogador %s derrotou um Golden Soldier!"
280       "O jogador %s derrotou um Golden Goblin!"
281       "O jogador %s derrotou um Golden Derkon!"
282       "O jogador %s derrotou um Golden Lizard King!"
283       "O jogador %s derrotou um Golden Vepa!"
284       "O jogador %s derrotou um Golden Tantalos!"
285       "O jogador %s derrotou um Golden Wheel!"
286       "O jogador %s derrotou um Dourado!"
287       "O jogador %s derrotou um Dourado!"
288       "O jogador %s derrotou um Dourado!"
289       "O jogador %s derrotou um Dourado!"
290       "O jogador %s derrotou um Dourado!"
291       "O jogador %s derrotou um Dourado!"
292       "O jogador %s derrotou um Dourado!"
293       "O jogador %s derrotou um Dourado!"
294       "O jogador %s derrotou um Dourado!"
295       "O jogador %s derrotou um Dourado!"
304       "O Caminhante de Gelo apareceu!"
305       "Voce nao tem forca suficiente para entrar no Double Goer"
306       "O Caminhante de Gelo foi derrotado!"
320       "Selupan apareceu! A porta da incubadora fechara em %d minuto(s)"
321       "A porta da incubadora fechou"
322       "%s derrotou Selupan!"
323       "A porta da incubadora abrira novamente em %d minuto(s)"
324       "A porta da incubadora abriu!"
325       "A porta da incubadora esta fechada"
336       "A Torre de Refinamento fechara em 60 minuto(s)"
337       "A Torre de Refinamento fechara em 20 minuto(s)"
338       "O Portao de Kanturu abrira em 1 minuto(s)"
339       "A batalha contra Maya comecara em breve. Prepare-se"
340       "A proxima batalha comecara em 1 minuto(s)"
341       "Nightmare apareceu! Derrote-o para liberar a Torre de Refinamento"
342       "Nightmare foi derrotado! A Torre de Refinamento foi liberada"
343       "O tempo acabou, voce sera removido do evento"
352       "Castle Deep comecara em 5 minuto(s)"
353       "Castle Deep comecou"
354       "Castle Deep terminou"
355       "Erohim foi morto pelo jogador %s"
356       "%s foi morto pelo jogador %s"
368       "Balgass uniu forcas com o exercito de Kundun e se prepara para atacar Crywolf"
369       "O exercito de Balgass esta pronto para atacar Crywolf"
370       "O exercito de Balgass esta marchando para Crywolf"
371       "O exercito de Balgass esta se aproximando de Crywolf"
372       "Nenhum Elfo conectado aos altares, deixando a estatua do lobo sem protecao"
373       "Balgass ficara vivo ate o fim da batalha"
374       "A defesa falhou! A estatua do lobo sagrado foi tomada por Balgass"
375       "A defesa foi bem-sucedida! A estatua do lobo sagrado foi protegida"
376       "O periodo de conexao aos Altares do Lobo comecara em %d segundo(s)"
377       "O periodo de conexao aos Altares do Lobo comecara em %d minuto(s)"
378       "O exercito de Balgass atacara em %d segundo(s)"
379       "O exercito de Balgass atacara em %d minuto(s)"
380       "Sem a protecao dos Elfos, a estatua do lobo sagrado ficou desprotegida"
381       "Balgass esta vindo! Proteja a estatua do lobo sagrado"
382       "O exercito de Balgass comecou a atacar a estatua do lobo sagrado"
383       "O exercito de Balgass foi derrotado com a ajuda dos herois"
384       "Ranking MvP: %d"
385       "Experiencia MvP: %d"
386       "Balgass foi morto por %s!"
387       "Balgass foi morto!"
388       "Dark Elf %d foi morto por %s!"
389       "Ponto MvP: %d"
390       "Conectado ao altar %d"
391       "%s conectado ao altar %d"
392       "O altar %d foi conectado"
393       "O periodo de conexao ao pedestal %d ainda nao comecou"
394       "O altar %d ja foi conectado mais de 2 vezes"
395       "A posicao para conectar ao altar %d esta incorreta"
396       "%s esta tentando conectar ao altar %d"
397       "Voce sera conectado ao altar em 5 segundo(s)"
398       "Nao se mova ate a conexao terminar"
399       "A conexao ao altar %d foi cancelada"
400       "A barreira da estatua do lobo sagrado desapareceu"
401       "Numero de conexoes: %d, Vida da estatua: %d"
402       "A barreira da estatua do lobo sagrado foi criada"
403       "A conexao requer Elfa nivel 260 ou superior"
416       "Castle Siege terminou"
417       "Comecou o periodo de registro do Castle Siege"
418       "Comecou o periodo de registro do emblema do Castle Siege"
419       "Comecou o periodo de selecao das Guilds do Castle Siege"
420       "Selecao de Guilds do Castle Siege concluida"
