//Section   Type   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
13	18	1	0	0	0	0	0	0	0	0	255	255	255	255	255
13	18	2	0	0	0	0	0	0	0	0	255	255	255	255	255
13	18	3	0	0	0	0	0	0	0	0	255	255	255	255	255
13	18	4	0	0	0	0	0	0	0	0	255	255	255	255	255
13	18	5	0	0	0	0	0	0	0	0	255	255	255	255	255
13	18	6	0	0	0	0	0	0	0	0	255	255	255	255	255
13	18	7	0	0	0	0	0	0	0	0	255	255	255	255	255
13	18	8	0	0	0	0	0	0	0	0	255	255	255	255	255
13	51	0	0	0	0	0	0	0	0	0	255	255	255	255	255
13	51	1	0	0	0	0	0	0	0	0	255	255	255	255	255
13	51	2	0	0	0	0	0	0	0	0	255	255	255	255	255
13	51	3	0	0	0	0	0   0	0	0	255	255	255	255	255
13	51	4	0	0	0	0	0   0	0	0	255	255	255	255	255
13	51	5	0	0	0	0	0   0	0	0	255	255	255	255	255
13	51	6	0	0	0	0	0   0	0	0	255	255	255	255	255
13	29	7	0	0	0	0	0   0	0	0	255	255	255	255	255
14	28	1	0	0	0	0	0   0	0	0	255	255	255	255	255
14	28	2	0	0	0	0	0   0	0	0	255	255	255	255	255
14	28	3	0	0	0	0	0   0	0	0	255	255	255	255	255
14	28	4	0	0	0	0	0   0	0	0	255	255	255	255	255
14	28	5	0	0	0	0	0	0	0	0	255	255	255	255	255
14	28	6	0	0	0	0	0   0	0	0	255	255	255	255	255
14	28	7	0	0	0	0	0   0	0	0	255	255	255	255	255
14	19	1	0	0	0	0	0   0	0	0	255	255	255	255	255
14	19	2	0	0	0	0	0   0	0	0	255	255	255	255	255
14	19	3	0	0	0	0	0   0	0	0	255	255	255	255	255
14	19	4	0	0	0	0	0   0	0	0	255	255	255	255	255
14	19	5	0	0	0	0	0   0	0	0	255	255	255	255	255
14	19	6	0	0	0	0	0   0	0	0	255	255	255	255	255
14	19	7	0	0	0	0	0   0	0	0	255	255	255	255	255
end
