//Section   Type   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
0	22	3	100	1	1	1	0		0	0	0	255	255	255	255	255
0	16	3	100	1	1	1	0		0	0	0	255	255	255	255	255
2	12	3	100	1	1	1	0		0	0	0	255	255	255	255	255
2	11	3	100	1	1	1	0		0	0	0	255	255	255	255	255
3	9	3	100	1	1	1	0		0	0	0	255	255	255	255	255
3	10	3	100	1	1	1	0		0	0	0	255	255	255	255	255
5	6	3	100	1	1	2	0		0	0	0	255	255	255	255	255
5	9	3	100	1	1	1	0		0	0	0	255	255	255	255	255
5	16	3	100	1	1	2	0		0	0	0	255	255	255	255	255
5	15	3	100	0	1	2	0		0	0	0	255	255	255	255	255
6	12	3	100	1	1	1	0		0	0	0	255	255	255	255	255
6	13	3	100	1	1	1	0		0	0	0	255	255	255	255	255
6	15	3	100	0	1	1	0		0	0	0	255	255	255	255	255
6	19	3	100	0	1	1	0		0	0	0	255	255	255	255	255
4	17	3	100	1	1	1	0		0	0	0	255	255	255	255	255
4	16	3	100	1	1	1	0		0	0	0	255	255	255	255	255
13	0	0	100	0	0	0	0		0	0	0	255	255	255	255	255
13	1	0	100	0	0	0	0		0	0	0	255	255	255	255	255
13	2	0	100	0	0	0	0		0	0	0	255	255	255	255	255
13	8	0	100	0	0	0	0	    0	0	0	255	255	255	255	255
13	9	0	100	0	0	0	0	    0	0	0	255	255	255	255	255
13	12	0	100	0	0	0	0	    0	0	0	255	255	255	255	255
13	13	0	100	0	0	0	0	    0	0	0	255	255	255	255	255
end
