//Section   Type   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
7   1 5  74 0 1 1 0 	0	0	0	255	255	255	255	255
7  26 5  62 0 1 0 0 	0	0	0	255	255	255	255	255
7  14 5  51 0 1 1 0 	0	0	0	255	255	255	255	255
8  15 5  86 0 1 0 0 	0	0	0	255	255	255	255	255
10  1 5  74 0 1 1 0 	0	0	0	255	255	255	255	255
10 26 5  62 0 1 0 0 	0	0	0	255	255	255	255	255
10 14 5  51 0 1 0 0 	0	0	0	255	255	255	255	255
10 15 5  86 0 1 0 0 	0	0	0	255	255	255	255	255
8   1 5  74 0 1 1 0 	0	0	0	255	255	255	255	255
8  26 5  56 0 1 0 0 	0	0	0	255	255	255	255	255
8  14 5  56 0 1 1 0 	0	0	0	255	255	255	255	255
9  15 5  56 0 1 0 0 	0	0	0	255	255	255	255	255
9  14 5  56 0 1 1 0 	0	0	0	255	255	255	255	255
9   1 5  74 0 1 1 0 	0	0	0	255	255	255	255	255
9  26 5  62 0 1 0 0 	0	0	0	255	255	255	255	255
11 15 5  86 0 1 0 0 	0	0	0	255	255	255	255	255
11 14 5  56 0 1 1 0		0	0	0	255	255	255	255	255
11  1 5  74 0 1 1 0     0	0	0	255	255	255	255	255
11 26 5  62 0 1 0 0     0	0	0	255	255	255	255	255
end
