//Section   Type   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
7	25	13	0	0	1	7	4		0	0	0	255	255	255	255	255
7	26	13	0	0	1	7	4		0	0	0	255	255	255	255	255
8	25	13	0	0	1	7	4		0	0	0	255	255	255	255	255
8	26	13	0	0	1	7	4		0	0	0	255	255	255	255	255
10	25	13	0	0	1	7	4		0	0	0	255	255	255	255	255
10	26	13	0	0	1	7	4		0	0	0	255	255	255	255	255
9	25	13	0	0	1	7	4		0	0	0	255	255	255	255	255
9	26	13	0	0	1	7	4		0	0	0	255	255	255	255	255
11	25	13	0	0	1	7	4	   	 0	0	0	255	255	255	255	255
11	26	13	0	0	1	7	4	    0	0	0	255	255	255	255	255
2	14	13	0	1	1	7	4	   	 0	0	0	255	255	255	255	255
2	15	13	0	1	1	7	4	    0	0	0	255	255	255	255	255
2	12	13	0	1	1	7	4	  	  0	0	0	255	255	255	255	255
12	21	0	0	0	0	0	0	  	  0	0	0	255	255	255	255	255
12	22	0	0	0	0	0	0	    0	0	0	255	255	255	255	255
12	23	0	0	0	0	0	0	    0	0	0	255	255	255	255	255
12	24	0	0	0	0	0	0	    0	0	0	255	255	255	255	255
12	35	0	0	0	0	0	0	    0	0	0	255	255	255	255	255
12	48	0	0	0	0	0	0	    0	0	0	255	255	255	255	255
6	9	13	0	1	1	7	4	    0	0	0	255	255	255	255	255
13	4	0	0	0	0	0	0		0	0	0	255	255	255	255	255
13	5	0	0	0	0	0	0	    0	0	0	255	255	255	255	255
end
