//Section   Type   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
14	3	0	100	0	0	0	0		0	0	0	255	255	255	255	255
14	6	0	100	0	0	0	0		0	0	0	255	255	255	255	255
14	8	0	50	0	0	0	0		0	0	0	255	255	255	255	255
14	9	0	0	0	0	0	0	    0	0	0	255	255	255	255	255
14	10	0	0	0	0	0	0		0	0	0	255	255	255	255	255
13	29	0	30	0	0	0	0	    0	0	0	255	255	255	255	255
13	46	-9	0	0	0	0	0		0	0	0	255	255	255	255	255
13	47	-9	0	0	0	0	0	    0	0	0	255	255	255	255	255
13	61	-9	0	0	0	0	0		0	0	0	255	255	255	255	255
14	111	0	0	0	0	0	0	    0	0	0	255	255	255	255	255
14	102	0	0	0	0	0	0		0	0	0	255	255	255	255	255
end
