//Section   Type   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
7	39	13	0	0	1	7	4		0	0	0	255	255	255	255	255
7	40	13	0	0	1	7	4		0	0	0	255	255	255	255	255
7	41	13	0	0	1	7	4		0	0	0	255	255	255	255	255
7	42	13	0	0	1	7	4		0	0	0	255	255	255	255	255
8	39	13	0	0	1	7	4		0	0	0	255	255	255	255	255
8	40	13	0	0	1	7	4		0	0	0	255	255	255	255	255
8	41	13	0	0	1	7	4	    0	0	0	255	255	255	255	255
8	42	13	0	0	1	7	4	    0	0	0	255	255	255	255	255
10	39	13	0	0	1	7	4	    0	0	0	255	255	255	255	255
10	40	13	0	0	1	7	4	    0	0	0	255	255	255	255	255
10	41	13	0	0	1	7	4		0	0	0	255	255	255	255	255
10	42	13	0	0	1	7	4	    0	0	0	255	255	255	255	255
9	39	13	0	0	1	7	4	    0	0	0	255	255	255	255	255
9	40	13	0	0	1	7	4	    0	0	0	255	255	255	255	255
9	41	13	0	0	1	7	4	    0	0	0	255	255	255	255	255
9	42	13	0	0	1	7	4		0	0	0	255	255	255	255	255
11	39	13	0	0	1	7	4	    0	0	0	255	255	255	255	255
11	40	13	0	0	1	7	4	    0	0	0	255	255	255	255	255
11	41	13	0	0	1	7	4	    0	0	0	255	255	255	255	255
11	42	13	0	0	1	7	4	    0	0	0	255	255	255	255	255
5	14	13	0	1	1	7	4		0	0	0	255	255	255	255	255
5	18	13	0	0	1	7	4	    0	0	0	255	255	255	255	255
5	17	13	0	0	1	7	4	    0	0	0	255	255	255	255	255
5	21	13	0	0	1	7	4	    0	0	0	255	255	255	255	255
5	22	13	0	0	1	7	4	    0	0	0	255	255	255	255	255
5	23	13	0	0	1	7	4		0	0	0	255	255	255	255	255
15	19	0	0	0	0	0	0	    0	0	0	255	255	255	255	255
15	20	0	0	0	0	0	0	    0	0	0	255	255	255	255	255
15	21	0	0	0	0	0	0	    0	0	0	255	255	255	255	255
15	22	0	0	0	0	0	0	    0	0	0	255	255	255	255	255
15	23	0	0	0	0	0	0		0	0	0	255	255	255	255	255
15	26	0	0	0	0	0	0	    0	0	0	255	255	255	255	255
15	27	0	0	0	0	0	0	    0	0	0	255	255	255	255	255
end
